
Date[2015-10-05 10:38:54,845] ThreadID[9] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry Get

Date[2015-10-05 10:38:55,635] ThreadID[10] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry Getsync

Date[2015-10-05 10:38:56,301] ThreadID[10] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Getsync

Date[2015-10-05 10:38:56,301] ThreadID[10] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Getsync Executed in 679 milli seconds

Date[2015-10-05 10:39:01,321] ThreadID[9] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Get

Date[2015-10-05 10:39:01,321] ThreadID[9] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Get Executed in 6495 milli seconds

Date[2015-10-05 10:39:51,694] ThreadID[12] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry Get

Date[2015-10-05 10:39:52,116] ThreadID[12] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Get

Date[2015-10-05 10:39:52,116] ThreadID[12] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Get Executed in 421 milli seconds

Date[2015-10-05 10:40:14,394] ThreadID[17] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry Getsync

Date[2015-10-05 10:40:14,394] ThreadID[17] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Getsync

Date[2015-10-05 10:40:14,394] ThreadID[17] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Getsync Executed in 1 milli seconds

Date[2015-10-05 10:40:28,093] ThreadID[17] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry Get

Date[2015-10-05 10:40:28,330] ThreadID[6] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry Get

Date[2015-10-05 10:40:28,445] ThreadID[17] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Get

Date[2015-10-05 10:40:28,445] ThreadID[17] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Get Executed in 368 milli seconds

Date[2015-10-05 10:40:28,746] ThreadID[6] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Get

Date[2015-10-05 10:40:28,746] ThreadID[6] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Get Executed in 427 milli seconds

Date[2015-10-05 10:41:44,459] ThreadID[25] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called Entry Getsync

Date[2015-10-05 10:41:44,459] ThreadID[25] Level[INFO ] Logger[AngularDemo.Shared.Logging]] - Called sucess Getsync

